FISCAL_YEAR,PRODUCT,CONVEYANCE,ORIGIN,COUNT_OF_LINES,SUM_OF_MSRP,duty_rate,product_complexity,hts_chapter,country_risk_score,country_avg_value,product_risk_score,conveyance_risk_score,value_per_line,log_msrp,log_lines,tariff_evasion_incentive,high_duty_product,complex_product,is_china,is_hong_kong,is_express,high_value_seizure
2023,Drug,Mail,Republic of Indonesia,1,40700,0.0,High,30,28,23067.821428571428,192,945,40700.0,10.614007941153417,0.6931471805599453,0.0,0,1,0,0,0,0
2023,Drug,Mail,Republic of Singapore,140,6910473,0.0,High,30,111,623126.0360360361,192,945,49360.52142857143,15.748548789628575,4.948759890378168,0.0,0,1,0,0,0,1
2023,Drug,Mail,Republic of Turkiye,7,12476,0.0,High,30,137,1184784.781021898,192,945,1782.2857142857142,9.431642228411022,2.0794415416798357,0.0,0,1,0,0,0,0
2023,Drug,Mail,United Arab Emirates,40,2615160,0.0,High,30,120,509279.625,192,945,65379.0,14.776836221463565,3.713572066704308,0.0,0,1,0,0,0,1
2023,Drug,Mail,United Kingdom of Great Britain and Northern Ireland,6,10338,0.0,High,30,86,127475.40697674418,192,945,1723.0,9.243678431586693,1.9459101490553132,0.0,0,1,0,0,0,0
2023,Drug,Mail,United Mexican States,8,3936,0.0,High,30,170,261079.97647058824,192,945,492.0,8.278174290943738,2.1972245773362196,0.0,0,1,0,0,0,0
2023,Drug,Mail,Unknown,48,2763998,0.0,High,30,345,1934068.895652174,192,945,57583.291666666664,14.832189102075132,3.8918202981106265,0.0,0,1,0,0,0,1
2023,Drug,No Transportation Involved,United Mexican States,2,200000,0.0,High,30,170,261079.97647058824,192,372,100000.0,12.206077645517674,1.0986122886681098,0.0,0,1,0,0,0,0
2023,Drug,No Transportation Involved,United States of America,2,71,0.0,High,30,197,300035.71065989847,192,372,35.5,4.276666119016055,1.0986122886681098,0.0,0,1,0,0,0,0
2023,Drug,No Transportation Involved,Unknown,5,91020,0.0,High,30,345,1934068.895652174,192,372,18204.0,11.418845528106633,1.791759469228055,0.0,0,1,0,0,0,0
